"","diet","time.at.reed","attitudes.killing","commons.freq","commons.veggie.good","commons.vegan.good","attitudes.products","attitudes.env","attitudes.veggie.health","attitudes.vegan.health","attitudes.protein","attitudes.culture","attitudes.longform","commons.pigday","commons.veggie.consistent","commons.vegan.consistent","commons.respect","commons.longform"
"24","I am vegetarian",2,4,"Never",3,3,4,5,4,3,1,1,"Aesthetics ","Strongly agree",3,3,3,"Aesthetics "
"25","I regularly eat meat",4,1,"At least once per a day",1,1,1,4,1,1,5,5,"","Strongly disagree",4,4,1,""
"26","I regularly eat meat",4,3,"I eat most of my meals at Commons",4,2,1,4,2,1,4,4,"","Strongly agree",3,2,3,""
"27","I regularly eat meat",2,3,"I eat most of my meals at Commons",2,2,2,4,2,2,4,4,"I just <3 meat","Meh.",2,2,3,"I just <3 meat"
"28","I eat meat sparingly",8,1,"Once a week or less",1,1,1,4,3,4,4,3,"","Strongly agree",2,2,1,""
"29","I eat meat sparingly",4,2,"Several times a week",3,2,1,5,2,3,4,1,"mental/physical health","Agree",5,4,3,"mental/physical health"
"30","I am vegetarian",9,1,"Once a week or less",3,3,1,5,3,3,4,3,"","Meh.",5,4,3,""
"31","I regularly eat meat",4,1,"I eat most of my meals at Commons",4,3,1,5,3,3,3,4,"","I don't know what you are talking about",3,3,4,""
"32","I eat meat sparingly",1,2,"I eat most of my meals at Commons",4,3,2,4,4,3,4,2,"","Meh.",4,2,3,""
"33","I regularly eat meat",6,3,"At least once per a day",4,1,1,5,3,3,3,4,"","Disagree",5,3,3,""
"34","I am vegetarian",4,3,"I eat most of my meals at Commons",3,3,3,5,2,2,1,1,"I just refuse to give money to the factory farming industry. Killing animals for food isn't necessarily wrong, but torturing them, ripping their guts out while they're still alive, raising them in horrible conditions in preparation for their eventual death is disgusting. And I'm not going to endorse it by buying into it.","I don't know what you are talking about",5,5,4,"I just refuse to give money to the factory farming industry. Killing animals for food isn't necessarily wrong, but torturing them, ripping their guts out while they're still alive, raising them in horrible conditions in preparation for their eventual death is disgusting. And I'm not going to endorse it by buying into it."
"35","I am vegan",6,5,"I eat most of my meals at Commons",3,4,5,5,5,5,1,1,"my decision not to eat meat is also based on personal connections I have with animals who I would not wish to betray by eating members of Animalia.  ","Strongly agree",3,2,4,"my decision not to eat meat is also based on personal connections I have with animals who I would not wish to betray by eating members of Animalia.  "
"36","I am vegan",4,2,"I eat most of my meals at Commons",3,4,2,5,4,4,2,1,"","Disagree",5,4,5,""
"37","I eat meat sparingly",7,1,"Once a week or less",4,3,1,4,1,1,1,4,"","I don't know what you are talking about",4,3,5,""
"38","I am pescetarian.",6,2,"Once a week or less",4,3,2,5,5,3,1,3,"Not just the environmental impact but the impact on our resources; i.e. land and water, which in turn lead to a huge environmental footprint.  Raising animals for slaughter is a colossal waste of time and energy.","I don't know what you are talking about",5,3,5,"Not just the environmental impact but the impact on our resources; i.e. land and water, which in turn lead to a huge environmental footprint.  Raising animals for slaughter is a colossal waste of time and energy."
"39","I regularly eat meat",8,2,"I eat most of my meals at Commons",4,4,2,4,3,3,2,2,"","Agree",3,3,4,""
"40","I am vegetarian",2,2,"At least once per a day",4,4,2,5,1,1,4,3,"I don't eat meat because of issues with factory farming and it's more sustainable to eat plants than meat, however, I do believe that there are ethical ways to raise animals for consumption. Also, I believe that it is not necessarily healthier to be vegetarian or vegan. It is very difficult to get certain vitamins, such as vitamin D3. ","Meh.",2,2,4,"I don't eat meat because of issues with factory farming and it's more sustainable to eat plants than meat, however, I do believe that there are ethical ways to raise animals for consumption. Also, I believe that it is not necessarily healthier to be vegetarian or vegan. It is very difficult to get certain vitamins, such as vitamin D3. "
"41","I am vegan",8,1,"I eat most of my meals at Commons",5,5,1,4,4,3,1,1,"","I don't know what you are talking about",5,5,4,""
"42","I am pescetarian.",4,3,"Several times a week",2,3,2,5,4,1,2,1,"","Meh.",1,3,2,""
"43","I eat meat sparingly",2,2,"I eat most of my meals at Commons",3,3,2,3,3,2,3,1,"","I don't know what you are talking about",3,3,4,""
"44","I regularly eat meat",2,2,"I eat most of my meals at Commons",4,4,2,4,2,1,2,2,"I like meat.

I am Jewish, so I don't eat pork.

I try to consume grass-fed beef, and meat from small farms raised without antibiotics.  I also try to consume cage-free eggs, whatever that actually means.","Meh.",5,4,5,"I like meat.

I am Jewish, so I don't eat pork.

I try to consume grass-fed beef, and meat from small farms raised without antibiotics.  I also try to consume cage-free eggs, whatever that actually means."
"45","I am vegan",1,5,"I eat most of my meals at Commons",3,3,5,5,5,5,3,1,"","Strongly agree",2,2,4,""
"46","I eat meat sparingly",8,3,"At least once per a day",4,3,3,5,4,4,1,2,"I think these questions are misleading. I disagree that there is anything inherently abusive about domesticating animals. What is WAY more important is the industrial system responsible for all of the animal products we get in commons, which is inarguably abusive and cruel. There is little argument that needs to be made about this - for the most part, those who disagree have not researched these conditions.","Strongly agree",4,3,2,"I think these questions are misleading. I disagree that there is anything inherently abusive about domesticating animals. What is WAY more important is the industrial system responsible for all of the animal products we get in commons, which is inarguably abusive and cruel. There is little argument that needs to be made about this - for the most part, those who disagree have not researched these conditions."
"47","I am vegetarian",5,3,"Several times a week",2,1,3,5,4,3,1,1,"Mostly the scale at which meat is raised and produced in the US in incredibly harmful to the environment but also, factoring farming in all ways in unethical, but I support buying animal products from small local farmers.","I don't know what you are talking about",1,1,1,"Mostly the scale at which meat is raised and produced in the US in incredibly harmful to the environment but also, factoring farming in all ways in unethical, but I support buying animal products from small local farmers."
"48","I am vegetarian",2,1,"I eat most of my meals at Commons",3,3,1,5,4,2,4,1,"","Agree",4,3,2,""
"49","I am vegetarian",4,2,"Several times a week",4,3,2,5,4,4,4,1,"The first two questions are fairly vague in how they portray the use of animals and may even be misleading. I think the actual act of killing an animal and the use of animals for food can be non-abusive if the animals are treated well and respected for what they are. However, our current meat market does not follow that to any degree. If you ask me if the animals killed for food or used for milk, eggs, etc. on the market today are abused, then then the answer is definitely. The factory farming of meat and animals products today is truly appalling, to the animals as well as the workers. That, along with the serious environmental threat mass meat production poses, is why I am a vegetarian. I would like to be a vegan, but as of yet, I do not have enough control of my diet to achieve that.","I don't know what you are talking about",3,2,4,"The first two questions are fairly vague in how they portray the use of animals and may even be misleading. I think the actual act of killing an animal and the use of animals for food can be non-abusive if the animals are treated well and respected for what they are. However, our current meat market does not follow that to any degree. If you ask me if the animals killed for food or used for milk, eggs, etc. on the market today are abused, then then the answer is definitely. The factory farming of meat and animals products today is truly appalling, to the animals as well as the workers. That, along with the serious environmental threat mass meat production poses, is why I am a vegetarian. I would like to be a vegan, but as of yet, I do not have enough control of my diet to achieve that."
"50","I am pescetarian.",2,4,"At least once per a day",2,3,2,5,4,2,2,2,"","Meh.",3,3,3,""
"51","I regularly eat meat",8,1,"Once a week or less",3,2,1,4,1,1,4,4,"","I don't know what you are talking about",3,3,3,""
"52","I am vegetarian",8,1,"Several times a week",4,4,1,5,3,3,2,1,"","Disagree",5,3,4,""
"53","I am vegan",2,5,"I eat most of my meals at Commons",3,1,4,5,3,2,5,1,"Namely the state of farming practices in the US -- it's not that I think raising animals for milk or eggs (or even really to kill them) is inherently ""abusive"", I just think the way it's done in most cases is utterly inhumane, and food labeling regulations are lax enough that phrases like ""free range"" are mostly meaningless.","Agree",3,1,3,"Namely the state of farming practices in the US -- it's not that I think raising animals for milk or eggs (or even really to kill them) is inherently ""abusive"", I just think the way it's done in most cases is utterly inhumane, and food labeling regulations are lax enough that phrases like ""free range"" are mostly meaningless."
"54","I regularly eat meat",2,1,"I eat most of my meals at Commons",5,4,2,4,3,1,3,5,"Tastes delicious","Strongly disagree",3,2,5,"Tastes delicious"
"55","I eat meat sparingly",2,3,"I eat most of my meals at Commons",4,3,2,5,3,2,4,4,"","Meh.",5,4,3,""
"56","I am vegan",2,4,"I eat most of my meals at Commons",4,3,4,5,4,4,4,5,"","I don't know what you are talking about",4,1,2,""
"57","I am pescetarian.",2,3,"At least once per a day",4,4,3,4,2,2,1,1,"Knowing where the meat/animal product is coming from - ensuring that if comes from an organic humane natural source and not a factory/animal abuse type of farm ","Strongly disagree",4,4,4,"Knowing where the meat/animal product is coming from - ensuring that if comes from an organic humane natural source and not a factory/animal abuse type of farm "
"58","I am vegan",4,5,"Once a week or less",4,2,5,5,4,4,1,1,"","Strongly agree",3,1,3,""
"59","I regularly eat meat",8,3,"I eat most of my meals at Commons",3,2,1,5,3,4,4,3,"","Meh.",2,1,2,""
"60","I am vegetarian",2,2,"I eat most of my meals at Commons",4,4,2,4,4,3,2,2,"I became a vegan due to stomach and digestion issues, but after 1.5 years I decided to just be a vegetarian. Being a vegetarian is easier for family gatherings, parties, etc, and I lost my taste for meat after going so long without it. ","Meh.",4,3,4,"I became a vegan due to stomach and digestion issues, but after 1.5 years I decided to just be a vegetarian. Being a vegetarian is easier for family gatherings, parties, etc, and I lost my taste for meat after going so long without it. "
"61","I am vegan",2,4,"I eat most of my meals at Commons",3,4,4,5,4,4,2,1,"Its the INDUSTRY of animal products that is the problem. Just killing animals in order to eat them is not abusive, its the way that they are raised and killed.  ","I don't know what you are talking about",3,1,3,"Its the INDUSTRY of animal products that is the problem. Just killing animals in order to eat them is not abusive, its the way that they are raised and killed.  "
"62","I am vegan",4,5,"I eat most of my meals at Commons",4,4,5,5,5,5,1,2,"","Strongly agree",4,4,2,""
"63","I am pescetarian.",2,4,"I eat most of my meals at Commons",5,5,3,5,5,3,2,1,"What it was fed and whether my action is depleting fisheries. ","Meh.",4,4,4,"What it was fed and whether my action is depleting fisheries. "
"64","I regularly eat meat",6,2,"I eat most of my meals at Commons",3,2,2,4,2,1,2,5,"","Meh.",2,2,3,""
"65","I regularly eat meat",8,1,"Once a week or less",2,1,1,3,2,1,5,5,"The taste","I don't know what you are talking about",4,2,2,"The taste"
"66","I am vegetarian",4,2,"I eat most of my meals at Commons",4,4,1,5,4,4,1,1,"","I don't know what you are talking about",5,3,4,""
"67","I am vegetarian",8,5,"Never",4,4,5,5,5,3,1,2,"","I don't know what you are talking about",5,4,3,""
"68","I am vegan",8,5,"Once a week or less",1,1,5,5,5,5,1,1,"","I don't know what you are talking about",3,2,2,""
"69","I am vegan",2,5,"At least once per a day",3,4,5,5,4,4,2,1,"","Strongly agree",3,3,3,""
"70","I am vegetarian",4,3,"Once a week or less",2,2,4,5,4,4,1,1,"","Meh.",3,2,3,""
"71","I regularly eat meat",2,1,"I eat most of my meals at Commons",1,1,1,3,2,1,4,5,"meat tastes good","Strongly disagree",4,4,1,"meat tastes good"
"72","I eat meat sparingly",8,2,"Several times a week",5,3,1,5,2,1,4,1,"Nutrient deficiencies, such as calcium, vitamin D, and iron","Meh.",5,3,3,"Nutrient deficiencies, such as calcium, vitamin D, and iron"
"73","I am vegan",8,4,"Once a week or less",3,3,4,5,4,4,2,1,"","I don't know what you are talking about",5,2,3,""
"74","I am vegan",4,4,"Once a week or less",1,1,5,5,4,4,3,1,"I don't care that animals are killed, I care that they are raised and killed unethically, in a way that causes them a lot of pain and is bad for the environment.","Meh.",1,1,5,"I don't care that animals are killed, I care that they are raised and killed unethically, in a way that causes them a lot of pain and is bad for the environment."
"75","I am vegetarian",2,5,"I eat most of my meals at Commons",2,1,4,3,4,3,2,3,"","Strongly agree",1,2,3,""
"76","I regularly eat meat",6,2,"At least once per a day",4,4,2,4,3,3,2,1,"","Agree",4,3,4,""
"77","I regularly eat meat",2,2,"At least once per a day",3,2,1,4,2,1,4,4,"I wish there was decent sushi at commons","Meh.",3,3,5,"I wish there was decent sushi at commons"
"78","I regularly eat meat",8,2,"Once a week or less",3,2,2,4,2,2,4,4,"","Meh.",4,2,4,""
"79","I eat meat sparingly",4,2,"I eat most of my meals at Commons",3,3,1,4,2,1,5,4,"","Meh.",5,4,4,""
"80","I regularly eat meat",3,2,"I eat most of my meals at Commons",2,2,2,4,2,2,4,2,"","Disagree",3,2,3,""
"81","I am vegetarian",8,1,"Several times a week",2,1,1,5,3,2,1,1,"I assumed the above statements about animal abuse were claiming it is inherently abusive to harvest animal products.  I'll eat eggs either way, but I enjoy knowing that they're reduced-abuse eggs.","I don't know what you are talking about",2,1,2,"I assumed the above statements about animal abuse were claiming it is inherently abusive to harvest animal products.  I'll eat eggs either way, but I enjoy knowing that they're reduced-abuse eggs."
"82","I am vegetarian",7,5,"I eat most of my meals at Commons",3,1,5,5,5,5,2,4,"","Strongly agree",3,2,1,""
"83","I eat meat sparingly",4,3,"At least once per a day",1,1,3,3,2,2,5,3,"","Disagree",4,2,5,""
"84","I eat meat sparingly",8,2,"Several times a week",3,3,1,4,3,2,3,1,"","I don't know what you are talking about",3,3,3,""
"85","I eat meat sparingly",3,1,"I eat most of my meals at Commons",4,3,1,5,5,4,3,1,"I avoid eating meat due to health and taste concerns. I realize that meat is a serious threat to the environment and this fortifies my stance. I choose not to have an ethical stance concerning animal treatment. ","Meh.",4,3,4,"I avoid eating meat due to health and taste concerns. I realize that meat is a serious threat to the environment and this fortifies my stance. I choose not to have an ethical stance concerning animal treatment. "
"86","I am vegan",6,3,"I eat most of my meals at Commons",3,1,5,5,5,5,5,1,"Dietary restrictions ","Meh.",1,1,1,"Dietary restrictions "
"87","I regularly eat meat",2,3,"I eat most of my meals at Commons",2,2,2,4,4,3,3,2,"","Meh.",3,3,5,""
"88","I regularly eat meat",2,4,"At least once per a day",5,4,4,5,5,5,5,5,"","Agree",5,5,4,""
"89","I regularly eat meat",6,1,"Several times a week",4,1,1,4,3,5,5,3,"","Strongly disagree",3,4,5,""
"90","I regularly eat meat",6,1,"At least once per a day",4,2,2,5,3,3,4,4,"I eat fish and other types of animals for fish oil and other properties I know they have which I want. ","I don't know what you are talking about",4,2,3,"I eat fish and other types of animals for fish oil and other properties I know they have which I want. "
"91","I am vegetarian",2,3,"I eat most of my meals at Commons",3,3,2,4,2,2,2,1,"I don't eat meat because I don't want to contribute to the mass meat consumption industry. However, I don't think that it's my place to tell others how to eat.","I don't know what you are talking about",2,2,2,"I don't eat meat because I don't want to contribute to the mass meat consumption industry. However, I don't think that it's my place to tell others how to eat."
"92","I am vegan",4,3,"I eat most of my meals at Commons",3,3,3,5,4,4,1,5,"","Agree",3,2,2,""
"93","I am vegan",4,5,"I eat most of my meals at Commons",3,2,5,5,4,4,4,4,"","Agree",4,3,2,""
"94","I regularly eat meat",5,1,"At least once per a day",1,1,1,2,1,1,4,5,"","Strongly disagree",5,4,5,""
"95","I eat meat sparingly",6,3,"At least once per a day",2,1,2,5,5,3,4,1,"","Agree",2,1,3,""
"96","I eat meat sparingly",6,3,"At least once per a day",1,1,2,4,3,2,3,3,"","I don't know what you are talking about",2,1,3,""
"97","I am vegetarian",6,4,"Several times a week",4,3,3,5,4,4,2,1,"","Strongly agree",3,1,3,""
"98","I am vegetarian",6,4,"At least once per a day",2,2,3,5,3,2,4,1,"Kinds of meat! for example, tuna is a super destructive animal to fish for, same with shrimp. When I became a vegetarian I began with tuna and red meat for their environmental impacts -- I think chicken for example is always better than these options. I sometimes eat things like wild salmon or ethically and sustainably-raised chicken, but it is rare. 
ALSO! There have to be suitable vegetarian options for someome to make the switch -- due to commons' serving styles, it took me until I lived off-campus to turn veggie. ","Strongly agree",4,3,2,"Kinds of meat! for example, tuna is a super destructive animal to fish for, same with shrimp. When I became a vegetarian I began with tuna and red meat for their environmental impacts -- I think chicken for example is always better than these options. I sometimes eat things like wild salmon or ethically and sustainably-raised chicken, but it is rare. 
ALSO! There have to be suitable vegetarian options for someome to make the switch -- due to commons' serving styles, it took me until I lived off-campus to turn veggie. "
"99","I am vegetarian",2,5,"I eat most of my meals at Commons",3,2,4,5,5,2,3,1,"","Strongly agree",4,2,2,""
"100","I am vegetarian",4,2,"Once a week or less",5,5,2,5,5,5,1,1,"","Meh.",4,2,4,""
"101","I regularly eat meat",8,1,"Several times a week",3,2,1,4,1,1,5,3,"gainz m8","Meh.",3,3,5,"gainz m8"
"102","I am vegetarian",8,2,"I eat most of my meals at Commons",4,4,2,4,2,2,4,1,"","Agree",4,4,4,""
"103","I am vegan",2,5,"I eat most of my meals at Commons",3,3,5,5,4,4,1,2,"","Strongly agree",3,2,3,""
"104","I am vegan",4,4,"I eat most of my meals at Commons",2,2,2,3,2,2,5,1,"I strictly do not consume any meat, fish, shellfish or eggs. It's irrational, but it's how I have lived and will continue to do so.","Strongly agree",3,2,3,"I strictly do not consume any meat, fish, shellfish or eggs. It's irrational, but it's how I have lived and will continue to do so."
"105","I am vegetarian",2,2,"I eat most of my meals at Commons",3,3,1,5,3,2,4,4,"I wanted to limit my consumption of meat to organic and ethically raised meats, but when I did this would get sick from eating meat because I was eating it so infrequently. I decided to become a vegetarian because of this. ","Strongly agree",3,4,5,"I wanted to limit my consumption of meat to organic and ethically raised meats, but when I did this would get sick from eating meat because I was eating it so infrequently. I decided to become a vegetarian because of this. "
"106","I am vegetarian",6,4,"I eat most of my meals at Commons",1,1,4,5,5,3,5,1,"I don't need meat so eating it is just self indulgence at the great expense of animal suffering and world environment 
I have struggled with an eating disorder not otherwise specified in the past and I have pretty high protein needs, so I choose to eat dairy and eggs in moderation. I include the eating disorder information because restricting my diet to  not include all animal products often leads to disordered eating for me, and I expect it's this way for many ","Strongly agree",1,1,1,"I don't need meat so eating it is just self indulgence at the great expense of animal suffering and world environment 
I have struggled with an eating disorder not otherwise specified in the past and I have pretty high protein needs, so I choose to eat dairy and eggs in moderation. I include the eating disorder information because restricting my diet to  not include all animal products often leads to disordered eating for me, and I expect it's this way for many "
"107","I eat meat sparingly",6,1,"Once a week or less",3,1,1,5,1,1,1,3,"","Disagree",3,2,3,""
"108","I am vegetarian",8,5,"At least once per a day",3,3,2,5,5,3,1,1,"","Agree",3,2,3,""
"109","I am vegan",2,4,"At least once per a day",2,2,3,5,3,2,4,1,"Have been vegan my entire life.","Meh.",3,2,2,"Have been vegan my entire life."
"110","I am vegetarian",6,3,"Several times a week",3,2,3,4,3,2,1,1,"","I don't know what you are talking about",1,1,2,""
"111","I eat meat sparingly",4,3,"At least once per a day",2,2,2,5,2,1,4,2,"","Agree",2,1,3,""
"112","I regularly eat meat",2,2,"I eat most of my meals at Commons",1,3,2,3,1,2,5,4,"","Meh.",4,3,5,""
"113","I am vegan",4,3,"I eat most of my meals at Commons",3,3,4,5,4,5,2,4,"","I don't know what you are talking about",4,3,2,""
"114","I am vegan",2,5,"I eat most of my meals at Commons",4,5,4,4,3,3,4,4,"","I don't know what you are talking about",4,3,4,""
"115","I am vegetarian",1,1,"I eat most of my meals at Commons",4,3,1,5,2,2,3,1,"","Agree",4,3,4,""
"116","I am vegetarian",2,1,"I eat most of my meals at Commons",2,2,3,5,3,3,2,1,"Not wanting to support an industry that I see as harmful to the environment , as well as being an inefficient way to produce food. ","Agree",2,2,2,"Not wanting to support an industry that I see as harmful to the environment , as well as being an inefficient way to produce food. "
"117","I am pescetarian.",5,4,"Once a week or less",3,3,2,5,4,4,4,2,"I feel better after eating plant-based foods or fish than after I eat meat. The main reason that I eat fish is for the protein and omega-3s. I also love fish, but never really liked meat to begin with, so it wasn't hard to give up. Lastly, I do eat meat when I'm in Europe because it is a big part of the culture.","Agree",2,1,3,"I feel better after eating plant-based foods or fish than after I eat meat. The main reason that I eat fish is for the protein and omega-3s. I also love fish, but never really liked meat to begin with, so it wasn't hard to give up. Lastly, I do eat meat when I'm in Europe because it is a big part of the culture."
"118","I eat meat sparingly",6,1,"At least once per a day",1,1,1,5,2,1,5,5,"","Meh.",3,3,3,""
"119","I am vegetarian",2,4,"At least once per a day",1,1,4,5,3,1,5,4,"","Meh.",3,1,2,""
